ZONERING;ECOTOOP;eco_code;VEG_STRUCT;STRUCT_COD;systeem;mech_dyn_o_gering dynamisch;mech_dyn_o_matig dynamisch;mech_dyn_o_sterk dynamisch;mech_dyn_o_onbekend;mech_dyn_o_NA;hydrologie_oever - supralittoraal of overstromingsvrij;hydrologie_oever - vochtig of overstromingsvrij;hydrologie_oever - vochtig;hydrologie_oever - drassig;hydrologie_oever - nat;hydrologie_oever - supralittoraal;hydrologie_oever -supralitoraal;hydrologie_overstromingsvrij;hydrologie_vochtig of overstromingsvrij;hydrologie_supralittoraal of overstromingsvrij;hydrologie_supralittoraal;hydrologie_vochtig;hydrologie_drassig;hydrologie_ondiep;hydrologie_matig diep;hydrologie_diep;hydrologie_zeer diep;hydrologie_onbekend;zout_cat_zoet;zout_cat_zwak brak;zout_cat_brak;zout_cat_zout;zout_cat_NA;zout_cat_onbekend;beheer_nauwelijks tot geen beheer;beheer_extensief beheer;beheer_intensief beheer;beheer_kunstmatig hard substraat;beheer_onbekend;beheer_water
Aquatisch;Aangetakte plas;gzp;aangetakte plas;watstrmnd;g;;;;;x;;;;;;;;;;;;;;x;x;x;;;x;;;;;;;;;;;x
Aquatisch;Brak aangetakte plas;gbxa;getijdenwater;watstrmnd;g;;;;;x;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;x
Aquatisch;Brak getijdenwater;gbx;getijdenwater;watstrmnd;g;;;;;x;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;x
Aquatisch;Brak water achter vooroever;gbxv;getijdenwater;watstrmnd;g;;;;;x;;;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;x
Aquatisch;Diep water;mzd;meer;watstgnnt;m;;;;;x;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;;x
Aquatisch;Diep zomerbed;rzd;zomerbed;watstrmnd;r;;;;;x;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;;x
Aquatisch;Diep, brak getijdenwater;gbd;getijdenwater;watstrmnd;g;;;;;x;;;;;;;;;;;;;;;;x;;;;;x;;;;;;;;;x
Aquatisch;Diep, zoet getijdenwater;gzd;getijdenwater;watstrmnd;g;;;;;x;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;;x
Aquatisch;Diep, zwak brak getijdenwater;god;getijdenwater;watstrmnd;g;;;;;x;;;;;;;;;;;;;;;;x;;;;x;;;;;;;;;;x
Aquatisch;Diepe eenzijdig aangetakte nevengeul;rtd;nevengeul;watstrmnd;r;;;;;x;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;;x
Aquatisch;Diepe nevengeul;rnd;nevengeul;watstrmnd;r;;;;;x;;;;;;;;;;;;;;;;x;;;x;;;;;;;;;;;x
Aquatisch;Eenzijdig aangetakte getijdenkreek;gzkz;eenzijdig aangetakte getijdenkreek;watstrmnd;g;;;;;x;;;;;;;;;;;;;;x;x;;;;;;;;;x;;;;;;x
Aquatisch;Eenzijdig aangetakte getijdenkreek;gokz;eenzijdig aangetakte getijdenkreek;watstrmnd;g;;;;;x;;;;;;;;;;;;;;x;x;;;;;;;;;x;;;;;;x
